Regione,Anno,totale incidenti,autovettura privata,autov. priv. con rimorchio, autovettura pubblica,autov. soccorso o polizia,autobus o filobus servizio urbano,autobus servizio extra-urbano,tram,autocarro,autotreno con rimorchio,autosnodato autoarticolato,veicoli speciali,trattore stradale o motrice,trattore agricolo,velocipede,ciclomotore,motociclo a solo,motociclo con passeggero,motocarro o motofurgone,veicolo trazione animale o braccia,veicolo ignoto datosi alla fuga,quadriciclo leggero,altri veicoli,totale veicoli coinvolti,
Sicilia,2016,10864,14033,7,19,71,53,45,8,786,17,47,51,43,29,496,1056,2758,594,56,2,74,65,0,20310,
Sardegna,2016,3537,4920,2,11,30,26,15,1,274,0,12,15,15,11,102,144,485,79,9,1,4,9,0,6165,
Italia Meridionale e Insulare,2016,40383,56522,50,93,242,242,207,9,3150,76,245,203,217,134,1726,2655,7635,1783,219,6,289,155,0,75858,
Totale 2016,2016,174348,220192,136,975,925,1377,1052,181,16403,348,1482,1133,1276,428,17394,11301,37676,5117,374,18,1616,589,0,319993,
Piemonte,2017,10823,14706,10,47,79,102,89,43,1167,20,92,81,111,45,1000,330,1444,197,10,2,69,32,0,19676,
Valle d'Aosta,2017,256,337,0,0,3,0,3,0,32,1,0,1,0,1,12,12,32,3,2,0,0,1,0,440,
Lombardia,2017,32552,39406,21,299,155,183,155,74,3344,57,283,244,326,51,4432,1890,7063,752,20,2,482,112,0,59351,
Prov.Autonoma di Bolzano,2017,1655,1709,6,4,7,25,8,0,199,3,19,14,40,12,343,76,398,34,0,0,11,4,0,2912,
Prov.Autonoma di Trento,2017,1356,1627,0,2,4,4,17,0,140,5,9,9,28,3,158,72,302,41,5,0,3,4,0,2433,
Trentino Alto Adige,2017,3011,3336,6,6,11,29,25,0,339,8,28,23,68,15,501,148,700,75,5,0,14,8,0,5345,
Veneto,2017,13844,17099,9,34,43,51,91,10,1468,40,174,111,150,45,2472,913,2340,290,4,1,92,31,0,25468,
Friuli Venezia Giulia,2017,3468,4223,0,6,8,29,15,1,265,2,35,15,51,19,417,131,797,75,4,0,23,8,0,6124,
Liguria,2017,8680,7401,5,42,41,403,75,1,764,2,70,89,78,1,389,634,4159,543,20,0,94,14,0,14825,
Emilia Romagna,2017,17362,21248,16,66,54,79,87,1,1984,66,265,126,184,40,3320,1077,2815,272,20,1,244,44,0,32009,
Italia Settentrionale,2017,89996,107756,67,500,394,876,540,130,9363,196,947,690,968,217,12543,5135,19350,2207,85,6,1018,250,0,163238,
Toscana,2017,16099,18614,14,58,64,144,61,1,1471,18,111,95,111,15,1818,1760,4272,468,46,2,89,72,0,29304,
Umbria,2017,2361,3144,3,3,12,12,18,0,245,7,29,14,23,9,145,189,311,21,9,0,13,8,0,4215,
Marche,2017,5484,7086,2,6,22,19,30,0,578,12,48,36,26,16,481,472,940,118,6,1,53,18,0,9970,
Lazio,2017,19590,24871,7,303,155,126,177,23,1635,13,105,126,102,20,666,596,6267,746,13,1,185,134,0,36271,
